id;title;gps_position
2484;Potager 2484;48.633211,0.978218
2485;Potager 2485;48.797737,1.853385
2486;Potager 2486;48.487238,2.259654
2487;Potager 2487;50.140963,2.941638
2488;Potager 2488;47.752637,3.17834
2489;Potager 2489;49.032111,0.63481
2490;Potager 2490;48.087058,2.41545
2491;Potager 2491;48.339621,2.941031
2492;Potager 2492;49.355142,1.73629
2493;Potager 2493;47.87469,1.048865
2494;Potager 2494;50.103319,3.065464
2495;Potager 2495;47.733226,3.13838
2496;Potager 2496;50.058612,1.911986
2497;Potager 2497;48.9083,3.827974
2498;Potager 2498;49.184479,1.383608
2499;Potager 2499;49.42135,0.909597
2500;Potager 2500;47.555548,2.404568
2501;Potager 2501;48.934828,0.712272
2502;Potager 2502;48.20203,2.377048
2503;Potager 2503;48.824367,2.389539
2504;Potager 2504;47.569214,2.531467
2505;Potager 2505;49.731136,2.995876
2506;Potager 2506;48.948483,3.665707
2507;Potager 2507;48.895531,3.419942
2508;Potager 2508;47.980288,1.571007
2509;Potager 2509;49.5604,2.187409
2510;Potager 2510;49.944037,1.752151
2511;Potager 2511;49.388186,1.119318
2512;Potager 2512;48.172487,2.823436
2513;Potager 2513;49.847648,1.935724
2514;Potager 2514;49.77743,2.466165
2515;Potager 2515;48.284404,3.6403
2516;Potager 2516;48.693816,3.746772
2517;Potager 2517;49.272648,3.209044
2518;Potager 2518;49.207927,2.973879
2519;Potager 2519;47.951789,2.938595
2520;Potager 2520;48.359815,3.106294
2521;Potager 2521;49.636962,1.988232
2522;Potager 2522;48.714809,0.63323
2523;Potager 2523;49.640597,2.269059
2524;Potager 2524;49.256765,3.818702
2525;Potager 2525;49.312916,3.162081
2526;Potager 2526;48.719403,4.194923
2527;Potager 2527;49.809554,3.381918
2528;Potager 2528;48.109048,3.079677
2529;Potager 2529;49.140619,1.608461
2530;Potager 2530;48.423444,3.426282
2531;Potager 2531;48.51602,3.736552
2532;Potager 2532;48.053261,2.293171
2533;Potager 2533;49.54084,2.157253
2534;Potager 2534;48.920111,1.512509
2535;Potager 2535;48.444078,2.48161
2536;Potager 2536;48.971274,1.510273
2537;Potager 2537;49.572064,1.940982
2538;Potager 2538;49.812595,3.658482
2539;Potager 2539;49.156653,3.430215
2540;Potager 2540;49.556053,1.179069
2541;Potager 2541;48.200151,2.153033
2542;Potager 2542;48.773379,1.0374
2543;Potager 2543;49.42739,1.227305
2544;Potager 2544;47.644834,3.058159
2545;Potager 2545;48.535852,1.583132
2546;Potager 2546;49.193753,1.150403
2547;Potager 2547;48.87434,1.155118
2548;Potager 2548;48.50927,0.912404
2549;Potager 2549;48.693186,3.379039
2550;Potager 2550;49.637454,3.808958
2551;Potager 2551;49.819964,0.926596
2552;Potager 2552;48.499133,2.353179
2553;Potager 2553;49.162159,2.803685
2554;Potager 2554;50.003595,1.347431
2555;Potager 2555;48.726238,0.785306
2556;Potager 2556;48.385037,0.564863
2557;Potager 2557;50.202346,2.291212
2558;Potager 2558;49.97356,3.354019
2559;Potager 2559;48.563306,3.824302
2560;Potager 2560;48.59812,2.592996
2561;Potager 2561;47.994956,3.110605
2562;Potager 2562;49.902513,1.641511
2563;Potager 2563;48.290458,0.896604
2564;Potager 2564;48.64778,1.137804
2565;Potager 2565;49.183058,0.566982
2566;Potager 2566;48.517366,0.697813
2567;Potager 2567;49.301868,3.816003
2568;Potager 2568;49.354315,3.300475
2569;Potager 2569;49.36801,1.180745
2570;Potager 2570;49.681846,3.971986
2571;Potager 2571;48.611984,0.792476
2572;Potager 2572;49.26723,1.735872
2573;Potager 2573;49.710659,1.43022
2574;Potager 2574;50.086291,2.325156
2575;Potager 2575;49.047299,4.159993
2576;Potager 2576;49.547283,3.099597
2577;Potager 2577;48.321265,0.766788
2578;Potager 2578;48.009863,1.746215
2579;Potager 2579;48.425449,3.882799
2580;Potager 2580;49.140083,2.390929
2581;Potager 2581;48.161753,2.730994
2582;Potager 2582;49.007019,0.947875
2583;Potager 2583;48.125609,0.974858
2584;Potager 2584;48.020758,2.286454
2585;Potager 2585;48.432334,3.705097
2586;Potager 2586;49.295075,2.272578
2587;Potager 2587;48.867933,1.539147
2588;Potager 2588;49.549034,1.921921
2589;Potager 2589;49.834304,3.627827
2590;Potager 2590;48.362781,3.754881
2591;Potager 2591;48.833471,2.103929
2592;Potager 2592;49.65415,2.291255
2593;Potager 2593;48.859699,2.138139
2594;Potager 2594;49.212879,1.32326
2595;Potager 2595;48.844479,4.174266
2596;Potager 2596;49.815556,2.916182
2597;Potager 2597;48.692463,3.512113
2598;Potager 2598;49.140206,2.338032
2599;Potager 2599;48.720928,0.775357
2600;Potager 2600;49.117548,2.675186
2601;Potager 2601;48.788573,1.424464
2602;Potager 2602;49.222288,3.54848
2603;Potager 2603;47.841201,3.513316
2604;Potager 2604;47.744363,2.233279
2605;Potager 2605;48.549206,2.631523
2606;Potager 2606;48.980677,2.066492
2607;Potager 2607;48.467451,2.194122
2608;Potager 2608;49.470005,3.782507
2609;Potager 2609;48.135532,1.899744
2610;Potager 2610;49.403054,1.777356
2611;Potager 2611;48.6793,3.711261
2612;Potager 2612;48.987351,3.844844
2613;Potager 2613;49.655282,1.476225
2614;Potager 2614;48.65318,2.738946
2615;Potager 2615;49.512642,2.564474
2616;Potager 2616;47.967651,2.592602
2617;Potager 2617;50.057101,2.371534
2618;Potager 2618;49.339979,3.310843
2619;Potager 2619;48.132293,1.088069
2620;Potager 2620;49.544803,3.154458
2621;Potager 2621;48.585387,3.438963
2622;Potager 2622;48.045325,3.889054
2623;Potager 2623;48.770176,0.533794
2624;Potager 2624;49.068537,1.135856
2625;Potager 2625;47.907454,3.034058
2626;Potager 2626;50.194365,2.24307
2627;Potager 2627;48.384233,2.210683
2628;Potager 2628;48.153704,1.235411
2629;Potager 2629;49.365688,2.121652
2630;Potager 2630;48.636411,3.014786
2631;Potager 2631;48.729013,0.805828
2632;Potager 2632;47.822755,1.363062
2633;Potager 2633;49.075448,2.799084
2634;Potager 2634;48.914113,1.972075
2635;Potager 2635;48.70505,2.142532
2636;Potager 2636;47.927375,2.50037
2637;Potager 2637;48.147618,2.801167
2638;Potager 2638;48.600911,2.318844
2639;Potager 2639;47.823999,2.79541
2640;Potager 2640;47.944981,3.30281
2641;Potager 2641;49.880122,1.100752
2642;Potager 2642;48.440579,3.810085
2643;Potager 2643;49.49452,4.135299
2644;Potager 2644;48.152858,0.97186
2645;Potager 2645;49.634064,1.848321
2646;Potager 2646;48.314922,1.239345
2647;Potager 2647;48.687091,2.897131
2648;Potager 2648;49.39071,0.481292
2649;Potager 2649;48.850035,0.952754
2650;Potager 2650;48.692452,0.386685
2651;Potager 2651;49.483599,3.9437
2652;Potager 2652;48.567068,2.661045
2653;Potager 2653;47.791315,2.579526
2654;Potager 2654;49.429538,2.409931
2655;Potager 2655;49.317994,2.62606
2656;Potager 2656;49.856857,2.345973
2657;Potager 2657;48.898854,1.683031
2658;Potager 2658;49.762591,1.258637
2659;Potager 2659;48.975698,3.881406
2660;Potager 2660;49.71278,2.871361
2661;Potager 2661;48.556367,1.761807
2662;Potager 2662;49.265749,1.020446
2663;Potager 2663;49.976353,2.156135
2664;Potager 2664;49.751001,2.023911
2665;Potager 2665;48.689883,3.706988
2666;Potager 2666;49.803672,3.595439
2667;Potager 2667;49.801244,3.197152
2668;Potager 2668;48.382689,3.439885
2669;Potager 2669;49.282765,1.33128
2670;Potager 2670;48.190479,1.922483
2671;Potager 2671;49.425548,4.198928
2672;Potager 2672;48.640546,0.749748
2673;Potager 2673;48.656542,1.782375
2674;Potager 2674;49.005562,4.274035
2675;Potager 2675;48.301384,1.209068
2676;Potager 2676;48.723634,4.151464
2677;Potager 2677;48.953781,1.409108
2678;Potager 2678;47.901343,1.933536
2679;Potager 2679;50.145745,2.700201
2680;Potager 2680;47.662852,1.61539
2681;Potager 2681;48.197459,3.576987
2682;Potager 2682;47.59307,2.785359
2683;Potager 2683;48.313915,0.862355
2684;Potager 2684;49.884941,1.116028
2685;Potager 2685;49.330389,4.228829
2686;Potager 2686;50.07516,3.191081
2687;Potager 2687;47.768673,1.48488
2688;Potager 2688;47.984157,2.420371
2689;Potager 2689;48.538428,2.67087
2690;Potager 2690;49.189752,1.313932
2691;Potager 2691;49.838644,2.144423
2692;Potager 2692;49.401205,3.496005
2693;Potager 2693;49.641245,2.266552
2694;Potager 2694;48.965824,2.381166
2695;Potager 2695;48.576284,2.853928
2696;Potager 2696;47.933035,3.222741
2697;Potager 2697;49.236511,3.504315
2698;Potager 2698;50.16451,2.187096
2699;Potager 2699;49.483613,2.038319
2700;Potager 2700;48.523736,4.036538
2701;Potager 2701;47.996036,2.32698
2702;Potager 2702;48.741764,1.20678
2703;Potager 2703;50.163777,2.390443
2704;Potager 2704;48.63562,3.16931
2705;Potager 2705;48.768831,3.06139
2706;Potager 2706;49.408647,2.505617
2707;Potager 2707;48.503019,3.388886
2708;Potager 2708;49.629294,1.047665
2709;Potager 2709;48.156654,3.201283
2710;Potager 2710;47.559751,2.104926
2711;Potager 2711;49.322253,4.046589
2712;Potager 2712;48.916201,3.310266
2713;Potager 2713;49.346153,2.820316
2714;Potager 2714;49.566147,3.528159
2715;Potager 2715;47.58886,1.803152
2716;Potager 2716;50.15879,2.124244
2717;Potager 2717;48.902294,0.849149
2718;Potager 2718;48.404033,1.908121
2719;Potager 2719;48.63825,0.741688
2720;Potager 2720;47.839976,3.479668
2721;Potager 2721;48.728787,3.108306
2722;Potager 2722;49.556813,2.77159
2723;Potager 2723;50.063319,2.344193
2724;Potager 2724;49.375108,3.232221
2725;Potager 2725;48.82376,1.533492
2726;Potager 2726;47.828259,3.047213
2727;Potager 2727;49.355796,3.807407
2728;Potager 2728;49.26536,1.790589
2729;Potager 2729;47.957494,2.557059
2730;Potager 2730;49.905337,2.193368
2731;Potager 2731;49.884597,3.085435
2732;Potager 2732;48.890286,1.879342
2733;Potager 2733;50.079124,2.817025
2734;Potager 2734;49.331534,1.394189
2735;Potager 2735;48.587007,3.147286
2736;Potager 2736;48.057232,2.115323
2737;Potager 2737;49.514185,3.398679
2738;Potager 2738;49.420996,3.243
2739;Potager 2739;48.15052,0.872966
2740;Potager 2740;49.260415,1.266286
2741;Potager 2741;49.461745,2.581629
2742;Potager 2742;49.564278,2.114548
2743;Potager 2743;48.586545,3.932064
2744;Potager 2744;49.389552,3.510605
2745;Potager 2745;47.921479,1.055802
2746;Potager 2746;48.874672,2.064395
2747;Potager 2747;48.252849,3.734049
2748;Potager 2748;48.824671,2.057663
2749;Potager 2749;48.607268,2.564089
2750;Potager 2750;48.99789,1.840471
2751;Potager 2751;48.735634,2.01547
2752;Potager 2752;49.625511,2.912108
2753;Potager 2753;49.594212,2.164223
2754;Potager 2754;50.169456,2.211617
2755;Potager 2755;49.047864,2.611852
2756;Potager 2756;48.411353,2.033158
2757;Potager 2757;48.207508,2.677966
2758;Potager 2758;49.197123,2.754924
2759;Potager 2759;50.027345,3.141763
2760;Potager 2760;49.594579,1.659181
2761;Potager 2761;49.391049,2.06257
2762;Potager 2762;48.593687,3.835459
2763;Potager 2763;49.145023,3.597553
2764;Potager 2764;48.66083,0.787548
2765;Potager 2765;49.100209,2.652843
2766;Potager 2766;47.963681,3.18436
2767;Potager 2767;48.44977,3.937134
2768;Potager 2768;48.345865,0.527446
2769;Potager 2769;48.966699,4.165582
2770;Potager 2770;49.720232,3.012838
2771;Potager 2771;48.295551,2.322936
2772;Potager 2772;48.789934,2.825038
2773;Potager 2773;49.259383,2.299186
2774;Potager 2774;49.11167,0.551668
2775;Potager 2775;48.577242,2.568319
2776;Potager 2776;48.520251,3.377301
2777;Potager 2777;49.343563,2.18446
2778;Potager 2778;48.146537,1.310992
2779;Potager 2779;47.641134,2.388542
2780;Potager 2780;48.713179,0.510285
2781;Potager 2781;48.838191,1.716026
2782;Potager 2782;48.783884,2.988145
2783;Potager 2783;48.859796,1.267507
2784;Potager 2784;47.643427,2.4516
2785;Potager 2785;48.867252,2.248516
2786;Potager 2786;49.116824,0.426584
2787;Potager 2787;48.322251,1.89588
2788;Potager 2788;49.672106,1.496583
2789;Potager 2789;47.857924,3.0316
2790;Potager 2790;49.739097,3.169525
2791;Potager 2791;49.842098,2.376683
2792;Potager 2792;49.897574,3.213184
2793;Potager 2793;48.107462,3.311382
2794;Potager 2794;49.111444,2.395199
2795;Potager 2795;49.724937,1.436647
2796;Potager 2796;48.067608,1.852129
2797;Potager 2797;48.411119,3.828153
2798;Potager 2798;48.267379,3.089132
2799;Potager 2799;49.404754,1.89853
2800;Potager 2800;48.240348,1.82096
2801;Potager 2801;48.275014,3.456142
2802;Potager 2802;47.84964,3.689092
2803;Potager 2803;49.026377,3.920137
2804;Potager 2804;48.745301,1.767104
2805;Potager 2805;48.625016,3.884492
2806;Potager 2806;48.149721,2.586016
2807;Potager 2807;47.943172,2.033662
2808;Potager 2808;47.955396,2.10698
2809;Potager 2809;48.831421,0.45033
2810;Potager 2810;49.600934,2.145592
2811;Potager 2811;47.671998,2.857813
2812;Potager 2812;48.681617,1.793812
2813;Potager 2813;48.320692,3.141159
2814;Potager 2814;48.885069,1.761157
2815;Potager 2815;48.594203,0.500062
2816;Potager 2816;48.421098,2.336077
2817;Potager 2817;49.468704,1.513778
2818;Potager 2818;48.172991,3.308811
2819;Potager 2819;48.943077,0.52421
2820;Potager 2820;49.423821,3.151902
2821;Potager 2821;48.342284,2.444759
2822;Potager 2822;49.518082,1.575295
2823;Potager 2823;49.190871,1.009788
2824;Potager 2824;48.270943,2.246619
2825;Potager 2825;48.84238,2.90058
2826;Potager 2826;48.791968,3.158183
2827;Potager 2827;47.645206,2.738151
2828;Potager 2828;48.606474,3.064709
2829;Potager 2829;49.43359,3.651937
2830;Potager 2830;47.905097,2.657933
2831;Potager 2831;47.943324,3.388709
2832;Potager 2832;48.888933,3.564375
2833;Potager 2833;49.790074,2.691665
2834;Potager 2834;48.425677,1.692235
2835;Potager 2835;48.381779,3.855461
2836;Potager 2836;48.568255,2.601353
2837;Potager 2837;48.699696,1.94232
2838;Potager 2838;49.397484,3.751794
2839;Potager 2839;47.750578,1.811569
2840;Potager 2840;49.945611,2.944874
2841;Potager 2841;49.426259,1.933932
2842;Potager 2842;48.937958,3.605669
2843;Potager 2843;49.024072,2.319667
2844;Potager 2844;49.72155,3.008601
2845;Potager 2845;49.280289,1.955994
2846;Potager 2846;47.866311,3.491258
2847;Potager 2847;49.580056,4.082699
2848;Potager 2848;49.725398,1.14894
2849;Potager 2849;47.829304,1.410183
2850;Potager 2850;49.20691,0.985798
2851;Potager 2851;48.33064,0.61854
2852;Potager 2852;48.929721,2.00952
2853;Potager 2853;48.555011,1.314742
2854;Potager 2854;47.975689,1.419902
2855;Potager 2855;48.674171,0.961669
2856;Potager 2856;48.911565,2.732434
2857;Potager 2857;49.990331,1.403075
2858;Potager 2858;48.949503,2.415571
2859;Potager 2859;48.083317,1.52111
2860;Potager 2860;47.883946,3.47774
2861;Potager 2861;47.68879,2.484611
2862;Potager 2862;49.527919,1.007641
2863;Potager 2863;48.028843,1.903991
2864;Potager 2864;48.954562,1.057524
2865;Potager 2865;48.579365,3.288832
2866;Potager 2866;49.441116,1.697637
2867;Potager 2867;48.185478,3.399451
2868;Potager 2868;49.194716,0.90914
2869;Potager 2869;48.762592,4.068257
2870;Potager 2870;47.991744,0.845039
2871;Potager 2871;49.4226,0.59652
2872;Potager 2872;48.178949,3.890167
2873;Potager 2873;47.669669,3.187173
2874;Potager 2874;48.649641,0.896088
2875;Potager 2875;48.432228,3.560629
2876;Potager 2876;47.67715,2.005567
2877;Potager 2877;48.079376,3.965667
2878;Potager 2878;47.849393,1.884956
2879;Potager 2879;48.212395,0.880038
2880;Potager 2880;48.680626,1.663189
2881;Potager 2881;47.756004,2.993471
2882;Potager 2882;50.031536,1.892987
2883;Potager 2883;48.62351,0.852585
2884;Potager 2884;49.262722,0.434516
2885;Potager 2885;48.259946,1.151038
2886;Potager 2886;48.406085,3.095831
2887;Potager 2887;48.208188,3.085296
2888;Potager 2888;48.127746,0.792632
2889;Potager 2889;48.997558,3.388645
2890;Potager 2890;50.031753,2.046673
2891;Potager 2891;48.967374,4.000845
2892;Potager 2892;49.328749,3.705165
2893;Potager 2893;48.17694,1.358269
2894;Potager 2894;49.016691,2.598952
2895;Potager 2895;48.130616,1.139423
2896;Potager 2896;49.013397,1.094972
2897;Potager 2897;47.873822,1.350587
2898;Potager 2898;48.651842,2.674842
2899;Potager 2899;49.117518,3.921523
2900;Potager 2900;48.000958,2.159316
2901;Potager 2901;48.456019,4.050119
2902;Potager 2902;48.540223,1.756278
2903;Potager 2903;50.031625,2.364107
2904;Potager 2904;49.154694,0.701695
2905;Potager 2905;48.977801,3.773483
2906;Potager 2906;47.885537,3.030189
2907;Potager 2907;48.712574,0.896598
2908;Potager 2908;47.618333,2.713475
2909;Potager 2909;48.237957,0.986545
2910;Potager 2910;49.077257,4.132567
2911;Potager 2911;49.579207,3.41474
2912;Potager 2912;48.441139,2.497852
2913;Potager 2913;49.137376,2.227988
2914;Potager 2914;48.061196,3.585278
2915;Potager 2915;49.652522,1.923244
2916;Potager 2916;49.720439,1.185099
2917;Potager 2917;47.948913,2.629479
2918;Potager 2918;50.122615,3.026904
2919;Potager 2919;49.199222,1.632465
2920;Potager 2920;49.525924,2.688092
2921;Potager 2921;48.194046,0.996864
2922;Potager 2922;49.166683,1.173277
2923;Potager 2923;48.855942,0.837992
2924;Potager 2924;48.568036,0.359778
2925;Potager 2925;48.954199,3.703585
2926;Potager 2926;50.154973,2.714726
2927;Potager 2927;48.718809,1.475609
2928;Potager 2928;48.783928,2.213013
2929;Potager 2929;48.514961,1.874356
2930;Potager 2930;48.436737,0.485891
2931;Potager 2931;49.914966,2.181882
2932;Potager 2932;47.860006,2.778664
2933;Potager 2933;48.896867,0.822426
2934;Potager 2934;48.94198,2.439751
2935;Potager 2935;49.186437,1.959501
2936;Potager 2936;48.848179,0.832922
2937;Potager 2937;48.348796,2.963107
2938;Potager 2938;48.493202,0.980598
2939;Potager 2939;49.362621,4.220759
2940;Potager 2940;47.65742,3.147648
2941;Potager 2941;47.997692,1.198798
2942;Potager 2942;49.709048,3.119833
2943;Potager 2943;48.669962,0.411186
2944;Potager 2944;47.936753,2.196498
2945;Potager 2945;49.14284,4.311188
2946;Potager 2946;49.30775,2.647771
2947;Potager 2947;48.251268,4.135153
2948;Potager 2948;48.701855,3.079012
2949;Potager 2949;49.940597,2.601303
2950;Potager 2950;47.691509,1.543496
2951;Potager 2951;48.645767,2.6094
2952;Potager 2952;49.788608,2.099019
2953;Potager 2953;48.721655,0.92175
2954;Potager 2954;49.24882,3.724881
2955;Potager 2955;50.024744,1.339658
2956;Potager 2956;49.226161,1.014421
2957;Potager 2957;49.667265,2.277076
2958;Potager 2958;49.830551,1.628486
2959;Potager 2959;48.226364,0.983014
2960;Potager 2960;49.598597,2.704105
2961;Potager 2961;49.607618,2.349465
2962;Potager 2962;48.554832,3.940988
2963;Potager 2963;47.720528,1.567348
2964;Potager 2964;47.826327,2.402027
2965;Potager 2965;49.294147,0.74967
2966;Potager 2966;49.250502,1.818799
2967;Potager 2967;49.384837,3.155949
2968;Potager 2968;49.299277,0.878459
2969;Potager 2969;49.100571,2.118497
2970;Potager 2970;48.517217,0.377591
2971;Potager 2971;49.735923,2.947459
2972;Potager 2972;48.988345,2.184326
2973;Potager 2973;48.490684,1.640179
2974;Potager 2974;48.561448,3.027006
2975;Potager 2975;49.891764,2.595682
2976;Potager 2976;48.373851,2.551329
2977;Potager 2977;48.782688,2.122626
2978;Potager 2978;49.858167,2.213304
2979;Potager 2979;48.613097,4.201407
2980;Potager 2980;49.06587,2.98233
2981;Potager 2981;47.859876,1.571155
2982;Potager 2982;48.499867,4.18831
2983;Potager 2983;49.549461,1.783666
2984;Potager 2984;48.839024,1.545359
2985;Potager 2985;49.044228,0.403457
2986;Potager 2986;48.338561,1.752932
2987;Potager 2987;50.039876,1.763373
2988;Potager 2988;48.1751,0.797069
2989;Potager 2989;48.289121,3.951471
2990;Potager 2990;48.517006,1.319426
2991;Potager 2991;49.372726,2.502915
2992;Potager 2992;49.112721,0.399483
2993;Potager 2993;47.555847,2.889201
2994;Potager 2994;49.334549,3.149745
2995;Potager 2995;47.871157,2.68191
2996;Potager 2996;49.425001,1.091314
2997;Potager 2997;48.517699,2.284015
2998;Potager 2998;48.316918,2.447179
2999;Potager 2999;48.464338,0.903872
3000;Potager 3000;48.181858,1.176534
3001;Potager 3001;48.025625,3.614318
3002;Potager 3002;47.730328,1.421311
3003;Potager 3003;49.67227,1.27575
3004;Potager 3004;49.070633,1.490589
3005;Potager 3005;49.819106,3.36352
3006;Potager 3006;48.875949,3.794333
3007;Potager 3007;48.430674,1.500068
3008;Potager 3008;49.212362,1.259106
3009;Potager 3009;48.346232,1.647535
3010;Potager 3010;48.190653,3.761352
3011;Potager 3011;48.628215,3.140352
3012;Potager 3012;48.556245,3.903522
3013;Potager 3013;47.779524,2.182757
3014;Potager 3014;50.140432,2.869171
3015;Potager 3015;49.433024,3.284621
3016;Potager 3016;48.343004,2.228882
3017;Potager 3017;48.110673,3.308223
3018;Potager 3018;49.271455,0.432986
3019;Potager 3019;49.098264,3.578473
3020;Potager 3020;49.198503,1.629052
3021;Potager 3021;48.881577,4.114865
3022;Potager 3022;48.422927,0.642308
3023;Potager 3023;49.010625,3.624404
3024;Potager 3024;49.734699,3.469599
3025;Potager 3025;49.168554,2.157609
3026;Potager 3026;48.985116,3.277917
3027;Potager 3027;49.151988,1.484749
3028;Potager 3028;47.616628,2.120072
3029;Potager 3029;49.21826,1.525256
3030;Potager 3030;49.879096,3.57378
3031;Potager 3031;48.709874,0.969803
3032;Potager 3032;47.836513,2.317972
3033;Potager 3033;49.847999,2.460959
3034;Potager 3034;50.013591,3.20943
3035;Potager 3035;48.986551,0.730046
3036;Potager 3036;47.87484,1.284294
3037;Potager 3037;49.539191,4.053047
3038;Potager 3038;48.267626,2.673747
3039;Potager 3039;48.757661,2.672497
3040;Potager 3040;48.09231,0.787489
3041;Potager 3041;48.013901,3.065605
3042;Potager 3042;49.077992,2.981401
3043;Potager 3043;50.120438,2.081087
3044;Potager 3044;49.299936,1.510619
3045;Potager 3045;48.207368,2.379477
3046;Potager 3046;47.745268,1.392942
3047;Potager 3047;50.031865,1.542165
3048;Potager 3048;47.907133,1.893643
3049;Potager 3049;49.023325,0.980775
3050;Potager 3050;49.240399,3.342877
3051;Potager 3051;49.481062,3.282568
3052;Potager 3052;48.381611,2.242872
3053;Potager 3053;48.221013,3.695662
3054;Potager 3054;48.737438,4.342359
3055;Potager 3055;49.006523,1.740109
3056;Potager 3056;48.207159,0.723256
3057;Potager 3057;48.41963,4.195099
3058;Potager 3058;47.618184,2.336824
3059;Potager 3059;48.891902,1.184463
3060;Potager 3060;48.702974,3.457864
3061;Potager 3061;49.62484,2.787066
3062;Potager 3062;48.883196,3.555984
3063;Potager 3063;49.100858,1.97722
3064;Potager 3064;48.382259,4.228807
3065;Potager 3065;48.580747,2.185063
3066;Potager 3066;49.143484,3.986206
3067;Potager 3067;48.344242,2.588824
3068;Potager 3068;49.278139,0.633258
3069;Potager 3069;48.143242,0.677654
3070;Potager 3070;48.738895,2.309079
3071;Potager 3071;49.122382,1.749733
3072;Potager 3072;50.12325,2.098729
3073;Potager 3073;49.070712,1.222223
3074;Potager 3074;49.916852,2.960862
3075;Potager 3075;48.827536,3.149325
3076;Potager 3076;47.635094,1.743694
3077;Potager 3077;49.737304,2.530865
3078;Potager 3078;49.082853,4.361043
3079;Potager 3079;50.068113,3.181046
3080;Potager 3080;48.055173,2.298882
3081;Potager 3081;48.428512,4.083882
3082;Potager 3082;49.20002,0.927039
3083;Potager 3083;47.844271,3.452247
3084;Potager 3084;47.648067,2.083895
3085;Potager 3085;49.052844,1.724991
3086;Potager 3086;48.551718,3.645425
3087;Potager 3087;49.490084,2.741804
3088;Potager 3088;48.639816,0.327463
3089;Potager 3089;48.553443,4.219853
3090;Potager 3090;49.156764,4.348157
3091;Potager 3091;49.477736,2.369702
3092;Potager 3092;48.123043,1.395837
3093;Potager 3093;49.863011,1.56566
3094;Potager 3094;49.682639,3.32874
3095;Potager 3095;49.777495,1.888492
3096;Potager 3096;48.334208,0.745205
3097;Potager 3097;49.275741,3.297218
3098;Potager 3098;47.891027,1.726796
3099;Potager 3099;49.618044,3.838522
3100;Potager 3100;49.037534,2.907759
3101;Potager 3101;48.313319,3.006254
3102;Potager 3102;48.1286,2.602431
3103;Potager 3103;47.752903,3.072549
3104;Potager 3104;48.541047,3.489462
3105;Potager 3105;47.881898,3.524297
3106;Potager 3106;48.325131,0.620058
3107;Potager 3107;48.247866,1.726029
3108;Potager 3108;48.632378,4.171277
3109;Potager 3109;49.326874,1.567702
3110;Potager 3110;47.986997,0.804063
3111;Potager 3111;49.220071,2.117509
3112;Potager 3112;49.863468,2.867234
3113;Potager 3113;48.728353,1.332092
3114;Potager 3114;48.701555,0.610628
3115;Potager 3115;49.77592,1.842744
3116;Potager 3116;48.717582,2.089294
3117;Potager 3117;48.458511,3.529564
3118;Potager 3118;49.370723,1.12109
3119;Potager 3119;47.864664,2.728404
3120;Potager 3120;48.563415,2.417555
3121;Potager 3121;49.729605,3.739329
3122;Potager 3122;48.285503,2.697559
3123;Potager 3123;50.084163,2.854355
3124;Potager 3124;49.072875,2.149154
3125;Potager 3125;48.977529,2.008226
3126;Potager 3126;49.86248,2.07319
3127;Potager 3127;50.09297,2.321568
3128;Potager 3128;48.308962,3.358409
3129;Potager 3129;48.666799,1.597862
3130;Potager 3130;49.231749,0.522967
3131;Potager 3131;49.04746,1.383458
3132;Potager 3132;49.129407,1.850781
3133;Potager 3133;47.749065,2.985361
3134;Potager 3134;47.79094,3.159102
3135;Potager 3135;49.749551,1.076591
3136;Potager 3136;49.617771,3.311914
3137;Potager 3137;49.947512,2.68142
3138;Potager 3138;50.004582,3.259993
3139;Potager 3139;47.918445,3.055519
3140;Potager 3140;48.592521,3.396084
3141;Potager 3141;48.578525,1.952329
3142;Potager 3142;49.960056,2.97701
3143;Potager 3143;49.034363,1.477568
3144;Potager 3144;48.570309,2.857678
3145;Potager 3145;48.972427,1.849194
3146;Potager 3146;49.007833,4.310211
3147;Potager 3147;48.365992,0.594245
3148;Potager 3148;49.120099,0.883044
3149;Potager 3149;48.898,1.991587
3150;Potager 3150;49.280238,3.467522
3151;Potager 3151;47.745259,2.56422
3152;Potager 3152;48.234876,1.790404
3153;Potager 3153;48.573902,1.194462
3154;Potager 3154;48.049801,3.664976
3155;Potager 3155;49.405637,4.225747
3156;Potager 3156;49.046122,3.449842
3157;Potager 3157;48.132159,2.703097
3158;Potager 3158;48.970639,1.324041
3159;Potager 3159;49.404212,2.073187
3160;Potager 3160;49.803099,0.96003
3161;Potager 3161;49.794568,3.117115
3162;Potager 3162;49.669538,3.538913
3163;Potager 3163;49.921009,2.951057
3164;Potager 3164;48.343766,1.70611
3165;Potager 3165;47.954955,2.855601
3166;Potager 3166;48.948629,0.946854
3167;Potager 3167;48.851402,1.324993
3168;Potager 3168;48.152206,1.360473
3169;Potager 3169;48.149706,2.705307
3170;Potager 3170;48.977628,3.164063
3171;Potager 3171;48.561375,1.499586
3172;Potager 3172;50.160407,2.026598
3173;Potager 3173;49.471168,2.653298
3174;Potager 3174;48.29948,0.92246
3175;Potager 3175;49.292275,1.871804
3176;Potager 3176;48.290756,0.515171
3177;Potager 3177;48.772592,3.038882
3178;Potager 3178;49.04723,3.741101
3179;Potager 3179;48.649871,1.70596
3180;Potager 3180;49.173641,0.481597
3181;Potager 3181;49.933845,1.358748
3182;Potager 3182;49.20066,3.525704
